route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
9011001057900000,1,33010000116830079,,1,1
9011001057900000,1,33010000125961471,,1,1
9011001057900000,1,33010000125961515,,1,1
9011001057900000,1,33010000125961735,,1,1
9011001057900000,1,33010000125961837,,1,1
9011001057900000,2,33010000125962213,,1,2
9011001057900000,2,33010000125962351,,1,1
9011001057900000,2,33010000125962483,,1,1
9011001057900000,2,33010000125962571,,1,1
9011001057900000,2,33010000125962747,,1,1
9011001057900000,2,33010000125962970,,1,1
9011001057900000,1,33010000125961559,,1,1
9011001057900000,1,33010000125961647,,1,1
9011001057900000,1,33010000125962068,,1,1
9011001057900000,2,33010000125962260,,1,2
9011001057900000,2,33010000125962395,,1,1
9011001057900000,2,33010000125962703,,1,1
9011001057900000,2,33010000125962791,,1,1
9011001057900000,2,33010000125962926,,1,1
9011001057900000,2,33010000125963102,,1,1
9011001057900000,1,33010000125961691,,1,1
9011001057900000,1,33010000125961793,,1,1
9011001057900000,2,33010000125961980,,1,2
9011001057900000,2,33010000125962166,,1,2
9011001057900000,2,33010000125962307,,1,2
9011001057900000,1,33010000125963192,,1,1
9011001057900000,1,33010000125963240,,1,1
9011001057900000,2,33010000125963286,,1,1
9011001057900000,1,33010000125961603,,1,1
9011001057900000,1,33010000125961881,,1,1
9011001057900000,1,33010000125961925,,1,1
9011001057900000,1,33010000125962024,,1,1
9011001057900000,2,33010000125962119,,1,2
9011001057900000,2,33010000125962439,,1,1
9011001057900000,2,33010000125962527,,1,1
9011001057900000,2,33010000125962615,,1,1
9011001057900000,2,33010000125962659,,1,1
9011001057900000,2,33010000125962838,,1,2
9011001057900000,2,33010000125962882,,1,1
9011001057900000,2,33010000125963014,,1,1
9011001057900000,2,33010000125963058,,1,1
9011001057900000,1,33010000125963148,,1,1
9011001057900000,2,33010000125963374,,0,3
9011001057900000,1,33010000125963416,,0,3
9011001057900000,2,33010000125963502,,0,3
9011001057900000,2,33010000125963544,,0,3
9011001057900000,2,33010000125963888,,0,4
9011001057900000,2,33010000125964160,,0,4
9011001057900000,2,33010000125964328,,0,3
9011001057900000,1,33010000125964457,,0,3
9011001057900000,1,33010000125964498,,0,3
9011001057900000,1,33010000125964580,,0,3
9011001057900000,1,33010000125964672,,0,3
9011001057900000,1,33010000125964714,,0,3
9011001057900000,1,33010000125964756,,0,3
9011001057900000,2,33010000125964986,,0,4
9011001057900000,2,33010000125965028,,0,3
9011001057900000,2,33010000125963586,,0,3
9011001057900000,2,33010000125963712,,0,3
9011001057900000,2,33010000125963796,,0,3
9011001057900000,2,33010000125964068,,0,4
9011001057900000,2,33010000125963460,,0,3
9011001057900000,2,33010000125963754,,0,3
9011001057900000,2,33010000125963842,,0,4
9011001057900000,1,33010000125963930,,0,3
9011001057900000,1,33010000125963972,,0,3
9011001057900000,2,33010000125964022,,0,4
9011001057900000,2,33010000125964114,,0,4
9011001057900000,2,33010000125964202,,0,3
9011001057900000,2,33010000125964244,,0,3
9011001057900000,2,33010000125964286,,0,3
