service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20191130,20191214
2,0,0,0,0,0,0,0,20191128,20191213
3,0,0,0,0,0,0,0,20191128,20191214
4,0,0,0,0,0,0,0,20191128,20191212
5,0,0,0,0,0,0,0,20191129,20191214
6,0,0,0,0,0,0,0,20191128,20191214
7,0,0,0,0,0,0,0,20191201,20191208
8,0,0,0,0,0,0,0,20191216,20200612
9,0,0,0,0,0,0,0,20191215,20200614
10,0,0,0,0,0,0,0,20191130,20191214
11,0,0,0,0,0,0,0,20191129,20191213
12,0,0,0,0,0,0,0,20191220,20200612
13,0,0,0,0,0,0,0,20191221,20200613
14,0,0,0,0,0,0,0,20191128,20200612
15,0,0,0,0,0,0,0,20191215,20200614
16,0,0,0,0,0,0,0,20191128,20200614
17,0,0,0,0,0,0,0,20191215,20200614
18,0,0,0,0,0,0,0,20191216,20200611
19,0,0,0,0,0,0,0,20191215,20200614
20,0,0,0,0,0,0,0,20191220,20200613
21,0,0,0,0,0,0,0,20191130,20200614
22,0,0,0,0,0,0,0,20191128,20200611
23,0,0,0,0,0,0,0,20191215,20200614
24,0,0,0,0,0,0,0,20191128,20200611
25,0,0,0,0,0,0,0,20191201,20200614
26,0,0,0,0,0,0,0,20191216,20200611
27,0,0,0,0,0,0,0,20191128,20200611
28,0,0,0,0,0,0,0,20191128,20200614
29,0,0,0,0,0,0,0,20191128,20200614
30,0,0,0,0,0,0,0,20191128,20200612
31,0,0,0,0,0,0,0,20191202,20191209
32,0,0,0,0,0,0,0,20191130,20200614
33,0,0,0,0,0,0,0,20191204,20191211
34,0,0,0,0,0,0,0,20191203,20191211
35,0,0,0,0,0,0,0,20191128,20191213
36,0,0,0,0,0,0,0,20191203,20191210
37,0,0,0,0,0,0,0,20191128,20191212
38,0,0,0,0,0,0,0,20191128,20191212
39,0,0,0,0,0,0,0,20191128,20191212
40,0,0,0,0,0,0,0,20191202,20191211
41,0,0,0,0,0,0,0,20191128,20191212
42,0,0,0,0,0,0,0,20191128,20191212
43,0,0,0,0,0,0,0,20191128,20191213
44,0,0,0,0,0,0,0,20191128,20191213
45,0,0,0,0,0,0,0,20191129,20191213
46,0,0,0,0,0,0,0,20191202,20191210
47,0,0,0,0,0,0,0,20191128,20191213
48,0,0,0,0,0,0,0,20191128,20191212
49,0,0,0,0,0,0,0,20191129,20191213
50,0,0,0,0,0,0,0,20191128,20191213
51,0,0,0,0,0,0,0,20191129,20191213
52,0,0,0,0,0,0,0,20191202,20191211
53,0,0,0,0,0,0,0,20191129,20191213
54,0,0,0,0,0,0,0,20191128,20191212
55,0,0,0,0,0,0,0,20191129,20191213
56,0,0,0,0,0,0,0,20191128,20191213
57,0,0,0,0,0,0,0,20191128,20191213
